chain_id,validator_name,validator_address,target_weight
laozi-mainnet,StakingCabin,bandvaloper15ak2q82ddzhxfdgcah34sfxjr7gqchmm4qssqc,165
laozi-mainnet,0base.vc,bandvaloper13vd9rzgytsvcm278ufehsvdvg2kky2djwjguq7,135
laozi-mainnet,🎲 Hub,bandvaloper147k9e3ssy8yh2xjqmgjc8pnvwgzrl4g2fj306s,112
laozi-mainnet,ContributionDAO,bandvaloper1qcncyz7lk6am048zhuyh2vv47ymf929lpdfd7d,107
laozi-mainnet,AutoStake 🛡️ Slash Protected,bandvaloper1xs2penspev206jj0egh5qu7qmr6mjzfgj299xl,102
laozi-mainnet,Stakeflow,bandvaloper17s35yz3rglx7pnjppm4u9l9ht2k9mr9tq0eyh6,100
laozi-mainnet,Cosmos Spaces,bandvaloper1fzhy0swda9ajmtqeh0ch8v59ngnwsy8ys2dhv9,100
laozi-mainnet,TTT VN,bandvaloper1h9a8wasp8zvj8h06mp7tlm0eetgacafkyfqapc,99
laozi-mainnet,Nodes.Guru,bandvaloper1ppycvs7hfnw37aghc9mc58zy9al793sr4mwxjg,99
laozi-mainnet,Solva (CryptoCrew),bandvaloper1ev4ylm9q6kyzsck3t6sw0h86zev95cfxzkn4cz,96
osmosis-1,Keplr,osmovaloper130r77dtdgz3yjyyskhrr3j2c90aqezugkhr3rs,944
osmosis-1,polkachu.com,osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,895
osmosis-1,Solva (CryptoCrew),osmovaloper1h2c47vd943scjlfum6yc5frvu2l279lwjep5d6,820
osmosis-1,HighStakes.ch | Daily Airdrops,osmovaloper1czsuul2n7252wcrvk9dvjcjg2qn2qcdd9ue74s,719
osmosis-1,Lavender.Five Nodes 🐝,osmovaloper1glmy88g0uf6vmw29pyxu3yq0pxpjqtzqr5e57n,713
osmosis-1,Stakecito Labs,osmovaloper12rzd5qr2wmpseypvkjl0spusts0eruw2g35lkn,703
osmosis-1,Crosnest,osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,635
osmosis-1,Allnodes,osmovaloper1e9ucjn5fjmetky5wezzcsccp7hqcwzrrdulz7n,592
osmosis-1,PRO Delegators,osmovaloper1r7spsjagrmcfv96w5dxtttajvnxczhcpgfk74g,567
osmosis-1,POSTHUMAN 🧬 StakeDrop,osmovaloper1e8238v24qccht9mqc2w0r4luq462yxttfpaeam,511
osmosis-1,Stakely.io,osmovaloper1z5xyynz9ewuf044uaweswldut34z34z3cwpt7y,452
osmosis-1,Imperator.co,osmovaloper1t8qckan2yrygq7kl9apwhzfalwzgc2429p8f0s,449
osmosis-1,01node,osmovaloper1xaz2yf5l0qcta60nlc9v4vzufz2r3swte7y8xd,397
osmosis-1,NosNode🔮,osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,363
osmosis-1,Cosmos Spaces ☮️💜⚛️,osmovaloper1t48236ajss9wswamwll4nj7up2gqdns52gvyaa,305
